Chemical Atlas User Personas,,,,,,,,
NAME,AFFILIATION / ROLE,DISCIPLINE / BACKGROUND,PRIMARY GOALS,CHALLENGES / FRUSTRATIONS,USE CASES / WEBSITE NEEDS,TECHNICAL FLUENCY,PREFFERED TOOLS / PLATFORMS,QUOTES
Ahmad Badiawan,Government,"Environmental Policy, Chemical Waste Management",To make regulations to protect the citizen,"Budget, support from other stakeholders, industries / lobbies tension","To show how crucial the situation is, advocacy to other senators / ministries",intermediate,"website, reports, case study reports","""In many countries, the absence of data is interpreted as the absence of cases. However, data that reveals potential hazardous and contaminated lands is crucial. In many countries, governments don't provide this data – making third party data sources essential"""
Carla K,Mother / Campaigner / Cashier,Realises her neighbourhood is a hotspot of local pollution but no one is doing anything about it.,"Creating a campaign to raise awareness, fight local corporation, see how others are tackling this / what the situation is globally / gain resources and knowledge.","Feels isolated. They're not experts and there is so much to look through, who can they ask for help? Want allies.","See if there's info on their local issue – opportunity for 'blanket strategies', resources, data / stats, allies / case studies",basic,"Facebook, Instagram, phones","""A mom who cares"""
Denise,Mother / School Teacher,College,Understand contamination in area of school – industry close by,"Worries about soil and air quality around school, doesn't know where to get good data, or how to interpret it",Spatial resolution – can zoom into her region. Temporal resolution – have things changed?,intermediate,website easily understandable,"""What is the state of pollution near the school? How can I find out more?"""
Leonardo,EU policymaker working on civic participation,"Policy, Law","To understand what makes EU citizens ""care"" about chemical exposure and take action on it. A tool that creates a network of actors at different levels.",Data / Platforms are either too technical or not informative enough. It is difficult to find work that really moves people. ,"Easy to understand / use, different levels of complexity, combination of technical data and compelling storytelling.",intermediate – can use Microsoft softwares,"LinkedIn, Smartphone X, Facebook",
Margot Rooman,School Teacher (35 y/o),"General background, basic science",To understand what is happening to the community and empower / educate the community ,Not being considered by local authorities as a valuable stakeholder. Not being consider by the polluter. Absence of content / information.,Precise / Reliable information (sources have to be accessible / referenced),basic,Facebook,
Marnie,Grandmother,"Retired, volunteering (used to be a teacher)","Legacy – to be a good ancestor. Looking after local communities. Pets, animals.","Health, fatigue. Eyesight or hearing-impaired. Dexterity.",Situated in the local context. ,basic,"Facebook, desktop or laptop",
Max,Teacher and cyclist,"Geography teacher. No scientific background. Working in Clapham, South London.","Find ways to communicate to students from different backgrounds. To teach physical geography. Inform discussion about car-free zone, reducing traffic on South Circular.","Doesn't understand the science of air quality, but wants to learn. ",New ways of mapping air quality in London. Mapping air quality while moving?,basic,"ipad, laptop","""Stop cars on the A205"""
Mrs Technocrat,Scientist / Industrialist / Manufacturer,"Science, industry, manufacturing","to prompt engagement with the wider environmental impacts of their [?] / industries etc., to visualise these issues, to prompt an engagement that goes beyond quantification.",Would they actually use such a website? Apathy / Disengagement / a sense that issues are already settled…,"A way to draw together testimony / quantitative evidence / opposition to [?] chemicals / industrial sites, etc.",intermediate – advanced,Laptops / iPhone,
Ms Risk Manager,Risk Manager,Risk is broadly defined depending on special interest,Minimise risk. Mindful of injustice. Smart governance / intervention,not enough knowledge. Too much uncertainty. Industry vs regulation.,Visualisation of key association to understand risk in probabilistic framework.,,,
Rosie White,Undergraduate student at UCL,"Geography undergraduate, strong A Levels",Obtain secondary data on chemical pollution and reproductive justice for dissertation topic. Inspired by Murphy's work.,University ethics committee restricting possibilities obtaining info about qualitative personal experiences,"Case study examples, sharing personal stories, quantitative data",intermediate,"website, laptop",
No name,School Teacher,"Biology, chemistry","Find out about the mining process: how does it work? How are metals extracted? Find out about effects on the environment, how they can be analysed and measured, how to measure. ","Encrypted information from the mining company. How to access satelite data, or information about the chemical production of metals, environmental impacts. ",Trace the impacts of metal pollution in an understandable way and use the atlas inputs to translate this information for education purposes. ,intermediate,"computer, phone, images, video",
Simone de Bellevoir,Master's Student,"Law, urban geography",Learn about stakeholders in regulation of forever chemicals,cannot find a useful conceptual framework for studying the temporality of toxicity,wants to discover,intermediate,"LinkedIn, mobile phone","""How do I map the stakeholders of something that lasts forever?"""
Thara,PhD Candidate,"Public health, food safety, health and environment, activist","work towards a safer, fairer and empowered society by research insights and getting involved with policymakers","environmental justice, ADHD – gets hyperfocused and goes into rabbit holes too often, data accessibility (sometimes hard to find reliable data), accessibility (dyslexia, blind color)","data sources for her thesis, environmental advocacy / activist",advanced,"Digital tools, laptop, quantitative data",
xx,Community Leader,"Community leader, member",to be informed about community health prevention / education / control options.To educate community on chemical health risks.,no pipeline or stages of info,"guidance materials, testimonials, literature",,,
